Library Description,C1,C2,C3,p,ds,rho,nH,T,H,E
p25000_ds0.007_rho2600_nH25_T14_Ep5e7_mu0.50,-5.915384769,-23.01766586,-18.93470192,25000,0.007,2600,25,14,0.175,50000000
p25000_ds0.004_rho2550_nH25_T10_Ep5e7_mu0.50,-5.700679779,-21.9048214,-17.30705833,25000,0.004,2550,25,10,0.1,50000000
p30000_ds0.007_rho2450_nH30_T12_Ep5e7_mu0.50,-5.924812794,-21.93144226,-16.06930161,30000,0.007,2450,30,12,0.21,50000000
p50000_ds0.008_rho2800_nH15_T16_Ep2e8_mu0.50,-5.51773262,-26.96376038,-32.52893448,50000,0.008,2800,15,16,0.12,200000000
p15000_ds0.006_rho2450_nH18_T20_Ep5e7_mu0.50,-5.909835339,-26.78071022,-29.23065948,15000,0.006,2450,18,20,0.108,50000000
p15000_ds0.004_rho2450_nH18_T14_Ep5e7_mu0.50,-5.82286644,-26.36036873,-28.66003227,15000,0.004,2450,18,14,0.072,50000000
p15000_ds0.004_rho2400_nH18_T18_Ep5e7_mu0.50,-5.749996662,-26.05955124,-28.3329525,15000,0.004,2400,18,18,0.072,50000000
p15000_ds0.003_rho2450_nH18_T16_Ep5e7_mu0.50,-5.580914021,-25.04751587,-26.85375977,15000,0.003,2450,18,16,0.054,50000000
p15000_ds0.006_rho2650_nH18_T16_Ep5e7_mu0.50,-6.053143978,-27.37499619,-29.79010391,15000,0.006,2650,18,16,0.108,50000000
p15000_ds0.005_rho2650_nH18_T20_Ep5e7_mu0.50,-5.827041626,-26.5151844,-28.95718193,15000,0.005,2650,18,20,0.09,50000000
p15000_ds0.007_rho2650_nH18_T18_Ep5e7_mu0.50,-6.165744781,-27.8144474,-30.18931961,15000,0.007,2650,18,18,0.126,50000000
p15000_ds0.006_rho2450_nH18_T18_Ep5e7_mu0.50,-5.886614323,-26.45424271,-28.41706848,15000,0.006,2450,18,18,0.108,50000000
p15000_ds0.007_rho2550_nH18_T16_Ep5e7_mu0.50,-5.93768549,-26.23005295,-27.62397957,15000,0.007,2550,18,16,0.126,50000000
p15000_ds0.005_rho2650_nH18_T18_Ep5e7_mu0.50,-5.860816002,-26.00206566,-27.44782257,15000,0.005,2650,18,18,0.09,50000000
p15000_ds0.007_rho2350_nH18_T16_Ep5e7_mu0.50,-5.965071678,-26.24253082,-27.44013405,15000,0.007,2350,18,16,0.126,50000000
p15000_ds0.006_rho2500_nH18_T16_Ep5e7_mu0.50,-5.999976158,-26.3132534,-27.27211952,15000,0.006,2500,18,16,0.108,50000000
p15000_ds0.003_rho2350_nH18_T10_Ep5e7_mu0.50,-5.815643787,-24.47880745,-23.59911537,15000,0.003,2350,18,10,0.054,50000000
p15000_ds0.004_rho2400_nH18_T10_Ep5e7_mu0.50,-6.092612743,-25.9224987,-25.43557167,15000,0.004,2400,18,10,0.072,50000000
p25000_ds0.004_rho2400_nH30_T16_Ep5e7_mu0.50,-5.732933998,-22.49734116,-18.74561501,25000,0.004,2400,30,16,0.12,50000000
p8000_ds0.004_rho2600_nH10_T20_Ep5e7_mu0.50,-5.972510338,-29.68086243,-36.51234818,8000,0.004,2600,10,20,0.04,50000000
p80000_ds0.007_rho2400_nH25_T20_Ep2e8_mu0.50,-5.534602642,-24.35965347,-25.19462585,80000,0.007,2400,25,20,0.175,200000000
p15000_ds0.006_rho2450_nH20_T20_Ep5e7_mu0.50,-5.993378162,-26.93125343,-28.95322037,15000,0.006,2450,20,20,0.12,50000000
p15000_ds0.005_rho2650_nH20_T20_Ep5e7_mu0.50,-6.07454443,-27.14266968,-28.87886047,15000,0.005,2650,20,20,0.1,50000000
p15000_ds0.003_rho2450_nH20_T16_Ep5e7_mu0.50,-5.883971691,-26.02685165,-27.2346077,15000,0.003,2450,20,16,0.06,50000000
p15000_ds0.004_rho2400_nH20_T18_Ep5e7_mu0.50,-5.952889442,-26.39371872,-27.68589973,15000,0.004,2400,20,18,0.08,50000000
p15000_ds0.007_rho2350_nH20_T18_Ep5e7_mu0.50,-6.148836613,-26.81492615,-27.54585648,15000,0.007,2350,20,18,0.14,50000000
p15000_ds0.006_rho2500_nH20_T16_Ep5e7_mu0.50,-6.15503788,-26.86600685,-27.55326843,15000,0.006,2500,20,16,0.12,50000000
p15000_ds0.004_rho2450_nH20_T14_Ep5e7_mu0.50,-6.056466103,-26.38154411,-26.91200256,15000,0.004,2450,20,14,0.08,50000000
p15000_ds0.005_rho2600_nH20_T10_Ep5e7_mu0.50,-6.371061325,-27.52231598,-27.88234138,15000,0.005,2600,20,10,0.1,50000000
p15000_ds0.004_rho2500_nH20_T18_Ep5e7_mu0.50,-5.014431,-20.30893517,-17.84932327,15000,0.004,2500,20,18,0.08,50000000
p15000_ds0.003_rho2350_nH20_T10_Ep5e7_mu0.50,-6.018795013,-25.49651718,-24.73748016,15000,0.003,2350,20,10,0.06,50000000
p15000_ds0.006_rho2650_nH20_T12_Ep5e7_mu0.50,-6.517905712,-27.42424774,-26.41017914,15000,0.006,2650,20,12,0.12,50000000
p55000_ds0.006_rho2600_nH20_T16_Ep2e8_mu0.50,-5.773727417,-26.73315811,-29.90895653,55000,0.006,2600,20,16,0.12,200000000
p10000_ds0.006_rho2500_nH15_T18_Ep5e7_mu0.50,-6.07324791,-29.5213623,-35.58200836,10000,0.006,2500,15,18,0.09,50000000
p10000_ds0.006_rho2500_nH15_T20_Ep5e7_mu0.50,-5.939587593,-28.79383087,-34.58731461,10000,0.006,2500,15,20,0.09,50000000
p80000_ds0.006_rho2800_nH12_T10_Ep5e8_mu0.50,-5.256141663,-25.7393589,-31.0855732,80000,0.006,2800,12,10,0.072,500000000
p10000_ds0.004_rho2350_nH15_T16_Ep5e7_mu0.50,-6.032059669,-28.80059242,-33.82949829,10000,0.004,2350,15,16,0.06,50000000
p10000_ds0.004_rho2400_nH15_T10_Ep5e7_mu0.50,-6.321278572,-29.66121101,-34.01952744,10000,0.004,2400,15,10,0.06,50000000
p95000_ds0.006_rho2800_nH25_T12_Ep3e8_mu0.50,-6.024555206,-26.27173805,-26.75559807,95000,0.006,2800,25,12,0.15,300000000
p75000_ds0.006_rho2800_nH12_T10_Ep5e8_mu0.50,-5.541749954,-27.61886978,-34.0969162,75000,0.006,2800,12,10,0.072,500000000
p15000_ds0.004_rho2500_nH25_T20_Ep5e7_mu0.50,-6.185115814,-27.2109108,-28.20160866,15000,0.004,2500,25,20,0.1,50000000
p15000_ds0.004_rho2400_nH25_T18_Ep5e7_mu0.50,-6.215257645,-27.11930847,-27.72512054,15000,0.004,2400,25,18,0.1,50000000
p15000_ds0.005_rho2650_nH25_T20_Ep5e7_mu0.50,-6.271834373,-27.38747025,-28.00386047,15000,0.005,2650,25,20,0.125,50000000
p15000_ds0.007_rho2350_nH25_T18_Ep5e7_mu0.50,-6.336637974,-26.96529007,-26.49039078,15000,0.007,2350,25,18,0.175,50000000
p15000_ds0.006_rho2500_nH25_T16_Ep5e7_mu0.50,-6.528905392,-27.87363625,-27.4446888,15000,0.006,2500,25,16,0.15,50000000
p15000_ds0.005_rho2600_nH25_T10_Ep5e7_mu0.50,-6.785879612,-27.8747654,-25.55538368,15000,0.005,2600,25,10,0.125,50000000
p10000_ds0.006_rho2450_nH18_T20_Ep5e7_mu0.50,-6.211089611,-29.35579872,-34.09353256,10000,0.006,2450,18,20,0.108,50000000
p10000_ds0.006_rho2500_nH18_T20_Ep5e7_mu0.50,-6.295086384,-30.02667046,-35.18294144,10000,0.006,2500,18,20,0.108,50000000
p10000_ds0.003_rho2450_nH18_T16_Ep5e7_mu0.50,-6.016531944,-28.45170021,-32.86916351,10000,0.003,2450,18,16,0.054,50000000
p10000_ds0.003_rho2500_nH18_T18_Ep5e7_mu0.50,-6.09531641,-28.9203968,-33.50541687,10000,0.003,2500,18,18,0.054,50000000
p10000_ds0.006_rho2500_nH18_T16_Ep5e7_mu0.50,-6.343004704,-29.32694054,-33.03484726,10000,0.006,2500,18,16,0.108,50000000
p10000_ds0.003_rho2350_nH18_T18_Ep5e7_mu0.50,-6.144404888,-28.81009865,-32.80791092,10000,0.003,2350,18,18,0.054,50000000
p10000_ds0.007_rho2350_nH18_T18_Ep5e7_mu0.50,-6.621320248,-30.83083534,-34.94977951,10000,0.007,2350,18,18,0.126,50000000
p10000_ds0.006_rho2450_nH18_T10_Ep5e7_mu0.50,-6.854905128,-31.25719833,-34.70736313,10000,0.006,2450,18,10,0.108,50000000
p10000_ds0.005_rho2600_nH18_T12_Ep5e7_mu0.50,-6.481026173,-29.50404739,-32.44719315,10000,0.005,2600,18,12,0.09,50000000
p10000_ds0.006_rho2450_nH18_T12_Ep5e7_mu0.50,-6.766579628,-30.93927765,-34.19181061,10000,0.006,2450,18,12,0.108,50000000
p55000_ds0.008_rho2800_nH25_T16_Ep2e8_mu0.50,-6.458235741,-29.62804222,-32.6892662,55000,0.008,2800,25,16,0.2,200000000
p65000_ds0.006_rho2700_nH20_T16_Ep3e8_mu0.50,-5.805044651,-27.45452499,-31.60172844,65000,0.006,2700,20,16,0.12,300000000
p90000_ds0.008_rho2300_nH12_T12_Ep7e8_mu0.50,-5.717115402,-29.3443985,-37.50568771,90000,0.008,2300,12,12,0.096,700000000
p8000_ds0.004_rho2350_nH15_T18_Ep5e7_mu0.50,-6.144271374,-30.24055672,-36.85819626,8000,0.004,2350,15,18,0.06,50000000
p10000_ds0.003_rho2500_nH20_T20_Ep5e7_mu0.50,-6.105647564,-29.44771194,-34.85152817,10000,0.003,2500,20,20,0.06,50000000
p10000_ds0.004_rho2500_nH20_T20_Ep5e7_mu0.50,-6.246256828,-29.72007561,-34.58262634,10000,0.004,2500,20,20,0.08,50000000
p10000_ds0.005_rho2450_nH20_T18_Ep5e7_mu0.50,-6.619389534,-31.1558342,-35.74915695,10000,0.005,2450,20,18,0.1,50000000
p10000_ds0.006_rho2450_nH20_T12_Ep5e7_mu0.50,-6.823069096,-30.98278809,-33.99542999,10000,0.006,2450,20,12,0.12,50000000
p15000_ds0.004_rho2500_nH30_T20_Ep5e7_mu0.50,-6.301822662,-26.99160385,-26.71656227,15000,0.004,2500,30,20,0.12,50000000
p15000_ds0.005_rho2600_nH30_T10_Ep5e7_mu0.50,-7.125892162,-28.84840012,-25.83304977,15000,0.005,2600,30,10,0.15,50000000
p70000_ds0.004_rho2300_nH15_T14_Ep5e8_mu0.50,-5.526723385,-26.52863312,-31.06456947,70000,0.004,2300,15,14,0.06,500000000
p55000_ds0.006_rho2900_nH20_T14_Ep3e8_mu0.50,-6.221159458,-30.3139801,-36.34663391,55000,0.006,2900,20,14,0.12,300000000
p8000_ds0.003_rho2500_nH18_T20_Ep5e7_mu0.50,-6.219774246,-30.58329391,-37.13331223,8000,0.003,2500,18,20,0.054,50000000
p65000_ds0.004_rho2300_nH15_T14_Ep5e8_mu0.50,-5.594460487,-26.82066536,-31.31811142,65000,0.004,2300,15,14,0.06,500000000
p100000_ds0.010_rho2900_nH12_T20_Ep1e9_mu0.50,-6.005638123,-32.20972443,-43.1702652,100000,0.01,2900,12,20,0.12,1000000000
p50000_ds0.006_rho2900_nH20_T14_Ep3e8_mu0.50,-6.280880451,-31.25125313,-38.52116776,50000,0.006,2900,20,14,0.12,300000000
p75000_ds0.004_rho2700_nH18_T20_Ep5e8_mu0.50,-5.296334743,-24.95393944,-28.49306488,75000,0.004,2700,18,20,0.072,500000000
p10000_ds0.003_rho2350_nH25_T20_Ep5e7_mu0.50,-6.334311008,-29.59622002,-33.50221252,10000,0.003,2350,25,20,0.075,50000000
p10000_ds0.003_rho2500_nH25_T20_Ep5e7_mu0.50,-6.559762001,-30.56826401,-34.54357529,10000,0.003,2500,25,20,0.075,50000000
p50000_ds0.004_rho2900_nH10_T18_Ep7e8_mu0.50,-5.479919434,-27.00884628,-32.5859375,50000,0.004,2900,10,18,0.04,700000000
p70000_ds0.008_rho2600_nH20_T16_Ep5e8_mu0.50,-6.512996197,-33.19213486,-42.0782814,70000,0.008,2600,20,16,0.16,500000000
p60000_ds0.007_rho2900_nH18_T20_Ep5e8_mu0.50,-6.298937798,-32.71083832,-42.3273201,60000,0.007,2900,18,20,0.126,500000000
p6000_ds0.003_rho2350_nH18_T20_Ep5e7_mu0.50,-6.365458012,-31.81409645,-39.40341187,6000,0.003,2350,18,20,0.054,50000000
p45000_ds0.004_rho2900_nH10_T18_Ep7e8_mu0.50,-5.56479454,-27.92294502,-34.49915695,45000,0.004,2900,10,18,0.04,700000000
p55000_ds0.008_rho2900_nH18_T12_Ep5e8_mu0.50,-6.704086781,-34.63027954,-44.6863327,55000,0.008,2900,18,12,0.144,500000000
p55000_ds0.007_rho2900_nH18_T20_Ep5e8_mu0.50,-6.513230801,-34.17081833,-44.72137451,55000,0.007,2900,18,20,0.126,500000000
p50000_ds0.008_rho2450_nH10_T14_Ep1e9_mu0.50,-6.917338371,-35.82660675,-46.14192581,50000,0.008,2450,10,14,0.08,1000000000
p50000_ds0.005_rho2400_nH10_T12_Ep1e9_mu0.50,-6.556453705,-32.93708801,-40.72752762,50000,0.005,2400,10,12,0.05,1000000000
p45000_ds0.007_rho2400_nH10_T18_Ep1e9_mu0.50,-6.955874443,-36.29924011,-47.09689331,45000,0.007,2400,10,18,0.07,1000000000
p85000_ds0.006_rho2700_nH20_T14_Ep1e9_mu0.50,-6.696642876,-34.61788177,-44.51281738,85000,0.006,2700,20,14,0.12,1000000000
p50000_ds0.010_rho2500_nH12_T18_Ep1e9_mu0.50,-6.920522213,-36.78686905,-48.84009933,50000,0.01,2500,12,18,0.12,1000000000
p50000_ds0.008_rho2500_nH12_T12_Ep1e9_mu0.50,-6.910225391,-36.29319763,-47.60709,50000,0.008,2500,12,12,0.096,1000000000
p50000_ds0.007_rho2350_nH12_T12_Ep1e9_mu0.50,-6.862773895,-35.61968613,-45.96149826,50000,0.007,2350,12,12,0.084,1000000000
p40000_ds0.008_rho2450_nH10_T14_Ep1e9_mu0.50,-7.198596478,-38.63756943,-51.83338165,40000,0.008,2450,10,14,0.08,1000000000
p40000_ds0.008_rho2450_nH10_T18_Ep1e9_mu0.50,-7.206976414,-38.76705551,-52.09758759,40000,0.008,2450,10,18,0.08,1000000000
p40000_ds0.004_rho2900_nH20_T12_Ep5e8_mu0.50,-6.887388229,-36.07018661,-47.12132645,40000,0.004,2900,20,12,0.08,500000000
p60000_ds0.007_rho2900_nH30_T14_Ep5e8_mu0.50,-7.837734699,-38.50057983,-46.61752701,60000,0.007,2900,30,14,0.21,500000000
p35000_ds0.004_rho2300_nH30_T14_Ep3e8_mu0.50,-7.142081738,-35.73783875,-44.25365448,35000,0.004,2300,30,14,0.12,300000000
p45000_ds0.006_rho2600_nH12_T20_Ep1e9_mu0.50,-6.910784245,-36.40830231,-47.73155594,45000,0.006,2600,12,20,0.072,1000000000
p45000_ds0.005_rho2450_nH12_T18_Ep1e9_mu0.50,-6.868041039,-35.424366,-45.2678833,45000,0.005,2450,12,18,0.06,1000000000
p55000_ds0.007_rho2900_nH30_T14_Ep5e8_mu0.50,-8.001164436,-39.20386887,-47.30743408,55000,0.007,2900,30,14,0.21,500000000
p35000_ds0.004_rho2900_nH20_T12_Ep5e8_mu0.50,-7.030469418,-36.95011139,-48.46199799,35000,0.004,2900,20,12,0.08,500000000
p35000_ds0.006_rho2400_nH10_T20_Ep1e9_mu0.50,-7.319556713,-39.0546875,-51.91868973,35000,0.006,2400,10,20,0.06,1000000000
p40000_ds0.007_rho2550_nH12_T12_Ep1e9_mu0.50,-6.906332493,-36.52941513,-48.26742935,40000,0.007,2550,12,12,0.084,1000000000
p30000_ds0.004_rho2300_nH30_T14_Ep3e8_mu0.50,-7.361898899,-37.12323761,-46.40341568,30000,0.004,2300,30,14,0.12,300000000
p50000_ds0.005_rho2500_nH15_T12_Ep1e9_mu0.50,-6.878520012,-34.86139679,-43.72755432,50000,0.005,2500,15,12,0.075,1000000000
p45000_ds0.007_rho2650_nH15_T18_Ep1e9_mu0.50,-7.235462666,-38.28786469,-50.5345459,45000,0.007,2650,15,18,0.105,1000000000
p30000_ds0.005_rho2600_nH10_T10_Ep1e9_mu0.50,-6.870971203,-36.15032196,-47.4154892,30000,0.005,2600,10,10,0.05,1000000000
p30000_ds0.005_rho2350_nH10_T16_Ep1e9_mu0.50,-7.229487896,-38.60866165,-51.36676407,30000,0.005,2350,10,16,0.05,1000000000
p35000_ds0.006_rho2600_nH12_T20_Ep1e9_mu0.50,-7.312799454,-39.27018738,-52.61193848,35000,0.006,2600,12,20,0.072,1000000000
p40000_ds0.007_rho2650_nH15_T14_Ep1e9_mu0.50,-7.255694866,-38.9463501,-52.25696182,40000,0.007,2650,15,14,0.105,1000000000
p30000_ds0.006_rho2600_nH12_T16_Ep1e9_mu0.50,-7.368378162,-40.00215149,-54.27928162,30000,0.006,2600,12,16,0.072,1000000000
p45000_ds0.008_rho2450_nH18_T12_Ep1e9_mu0.50,-7.309552193,-38.29332733,-50.1083374,45000,0.008,2450,18,12,0.144,1000000000
p30000_ds0.005_rho2650_nH12_T10_Ep1e9_mu0.50,-7.34309721,-39.01340485,-51.76467896,30000,0.005,2650,12,10,0.06,1000000000
p50000_ds0.005_rho2600_nH20_T14_Ep1e9_mu0.50,-6.858491898,-34.88047409,-43.92741776,50000,0.005,2600,20,14,0.1,1000000000
p45000_ds0.008_rho2650_nH20_T14_Ep1e9_mu0.50,-7.367147446,-38.45724869,-50.05307007,45000,0.008,2650,20,14,0.16,1000000000
p40000_ds0.006_rho2350_nH18_T12_Ep1e9_mu0.50,-7.122368813,-36.86956787,-47.50528717,40000,0.006,2350,18,12,0.108,1000000000
p40000_ds0.005_rho2500_nH18_T18_Ep1e9_mu0.50,-7.262445927,-37.75233078,-48.73774338,40000,0.005,2500,18,18,0.09,1000000000
p40000_ds0.006_rho2500_nH20_T20_Ep1e9_mu0.50,-7.328270435,-39.61571503,-53.49106216,40000,0.006,2500,20,20,0.12,1000000000
p40000_ds0.007_rho2550_nH20_T12_Ep1e9_mu0.50,-7.372662067,-38.67489243,-50.66395569,40000,0.007,2550,20,12,0.14,1000000000
p30000_ds0.005_rho2600_nH15_T10_Ep1e9_mu0.50,-7.385324478,-39.19373322,-51.93085861,30000,0.005,2600,15,10,0.075,1000000000
p40000_ds0.006_rho2500_nH20_T10_Ep1e9_mu0.50,-7.252183914,-37.60320282,-48.63653183,40000,0.006,2500,20,10,0.12,1000000000
p40000_ds0.005_rho2350_nH20_T14_Ep1e9_mu0.50,-7.20489502,-37.02931213,-47.24187469,40000,0.005,2350,20,14,0.1,1000000000
p50000_ds0.008_rho2550_nH25_T10_Ep1e9_mu0.50,-8.29966259,-41.29803085,-50.83405304,50000,0.008,2550,25,10,0.2,1000000000
p35000_ds0.007_rho2600_nH18_T10_Ep1e9_mu0.50,-7.367326736,-38.40140533,-50.02433395,35000,0.007,2600,18,10,0.126,1000000000
p45000_ds0.009_rho2400_nH25_T20_Ep1e9_mu0.50,-7.868362427,-41.68916702,-55.12930298,45000,0.009,2400,25,20,0.225,1000000000
p45000_ds0.010_rho2350_nH25_T16_Ep1e9_mu0.50,-8.266759872,-42.97146988,-55.65330124,45000,0.01,2350,25,16,0.25,1000000000
p35000_ds0.006_rho2550_nH20_T14_Ep1e9_mu0.50,-7.635199547,-40.79070282,-54.45880127,35000,0.006,2550,20,14,0.12,1000000000
p35000_ds0.006_rho2550_nH20_T16_Ep1e9_mu0.50,-7.436442375,-39.93633652,-53.57536697,35000,0.006,2550,20,16,0.12,1000000000
p35000_ds0.005_rho2350_nH20_T20_Ep1e9_mu0.50,-7.34655571,-38.84873962,-51.15940094,35000,0.005,2350,20,20,0.1,1000000000
p25000_ds0.005_rho2550_nH15_T16_Ep1e9_mu0.50,-7.781944752,-42.14743423,-57.02490234,25000,0.005,2550,15,16,0.075,1000000000
p40000_ds0.005_rho2650_nH25_T20_Ep1e9_mu0.50,-7.451538086,-39.15922928,-51.26767731,40000,0.005,2650,25,20,0.125,1000000000
p40000_ds0.006_rho2600_nH25_T18_Ep1e9_mu0.50,-7.538432598,-39.2817955,-50.95591354,40000,0.006,2600,25,18,0.15,1000000000
p35000_ds0.008_rho2350_nH25_T16_Ep1e9_mu0.50,-8.319128036,-44.28556442,-58.91165543,35000,0.008,2350,25,16,0.2,1000000000
p35000_ds0.005_rho2600_nH25_T16_Ep1e9_mu0.50,-7.714790344,-40.60389328,-53.24827957,35000,0.005,2600,25,16,0.125,1000000000
p25000_ds0.005_rho2650_nH25_T12_Ep1e9_mu0.50,-8.350793839,-44.53853226,-59.36260605,25000,0.005,2650,25,12,0.125,1000000000
